x,y,vocab,count
-23.258665,-13.6091795,vieron_afectados,56
-34.176517,-19.88167,gases,122
-10.592956,-0.8399367,policiales,316
14.0409775,29.427187,acusó,1331
9.706285,17.328165,actuar,785
-25.961594,29.112621,protocolo,413
7.6047688,51.653965,advirtiendo,133
3.178822,8.062501,trató,504
-4.588707,20.030018,situación,6075
-0.6291734,22.051716,amerita,28
16.887129,17.15787,sumario_interno,31
-52.732464,4.51781,número,1919
-13.691348,-10.163988,encontraban,512
-15.523649,5.3178625,derivó,184
-6.7754016,-15.641002,empujones,20
-0.3925623,8.260053,grupos,1204
-16.313787,5.719558,producto,1644
-0.0055669476,-21.04124,personas_resultaron,195
2.0702333,-16.987719,detenidas,130
51.709408,9.884733,alcalde,1890
50.322254,11.200595,valparaíso_jorge,50
50.893337,11.160276,sharp,67
12.808085,32.539883,refirió,1000
-22.620777,-2.7938251,mortal,166
-14.508308,5.6166263,registrado,827
0.5864308,-27.64114,anoche,96
-5.640716,-45.654804,cerro,260
-5.4389005,-44.862038,bellavista,46
-16.394524,44.48601,extendió,247
12.156516,-0.57444084,condolencias,148
12.477324,-0.18710119,familiares_víctimas,79
8.4743805,-42.30601,ciudad,4319
12.589323,1.7436666,conmocionada,20
-32.340714,-27.726902,derrumbe,263
-14.20852,-12.665885,rescatan,37
-59.948185,9.179419,2,1744
-14.368659,-15.126845,cuerpos,642
-59.840996,9.154743,4,2004
-43.361107,-14.08706,víctimas_fatales,121
-0.19364971,15.549189,dolor,520
8.364026,54.56522,comparte,152
12.424363,30.94346,lamentó,574
-14.549476,2.9583166,vive,920
-14.088941,20.9316,permanentemente,90
-23.92091,6.3482285,riesgo,1583
-17.065933,4.2282925,expuesta,72
-28.44225,1.7531781,situaciones,683
5.410367,-3.3572683,gustaría,189
4.3786516,56.309258,sentido,1752
22.028673,48.02665,profundizó,51
-17.005848,15.421619,tipo,2962
-33.327534,-26.857328,deslizamientos,62
-2.1582015,29.017155,evidentemente,139
-37.755226,-29.983,magnitud,415
-17.138565,7.4897504,producen,209
-9.564559,45.107815,espera,2862
-31.700285,1.2594566,trabajos,845
-7.524826,48.7606,puedan,1154
-13.8798485,33.81973,proporcionar,84
-22.47335,16.92002,mayores,1119
-13.139259,17.726267,certezas,50
45.733166,8.812126,catastro,86
17.500349,49.13673,advirtió,1578
5.7938423,-0.30328536,prefiero,35
